                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2374,                0.89628,                 1.3096,                0.93115,                0.93499,                0.97068,                0.39887,                 2.0726,                0.80671,                 1.7042,              0.0011178,              0.0011178,              0.0011178
                     36,                 1.2556,                0.87624,                 1.3347,                0.95684,                0.91533,                0.96533,                0.42772,                 1.9123,                 0.7385,                 1.5949,              0.0011083,              0.0011083,              0.0011083
                     37,                 1.2205,                0.83054,                 1.3089,                0.86589,                  0.919,                0.94421,                0.45083,                 1.8119,                0.72632,                 1.5614,              0.0010989,              0.0010989,              0.0010989
                     38,                 1.2323,                0.89813,                 1.3187,                0.92435,                0.94877,                 0.9661,                0.46229,                 1.7934,                0.70912,                 1.5543,              0.0010895,              0.0010895,              0.0010895
                     39,                 1.2007,                 0.8004,                 1.2859,                0.97817,                0.96399,                0.98498,                0.49709,                 1.7049,                0.67856,                 1.4594,                0.00108,                0.00108,                0.00108
                     40,                 1.2303,                0.82596,                 1.2912,                0.94373,                0.91008,                0.96154,                0.42959,                 1.9443,                0.74516,                 1.6194,              0.0010706,              0.0010706,              0.0010706
                     41,                 1.2038,                0.81097,                 1.2811,                0.94944,                0.93255,                0.96416,                0.49105,                 1.7225,                0.68766,                 1.4212,              0.0010612,              0.0010612,              0.0010612
                     42,                 1.1849,                0.78462,                 1.2845,                0.95955,                0.96067,                0.97616,                0.49235,                 1.8191,                0.68487,                 1.5049,              0.0010517,              0.0010517,              0.0010517
                     43,                 1.1597,                0.79145,                 1.2753,                0.97031,                0.95305,                0.97104,                0.47956,                 1.7446,                0.68444,                 1.4902,              0.0010423,              0.0010423,              0.0010423
                     44,                 1.1549,                0.78916,                 1.2555,                0.94975,                0.90682,                0.97149,                0.47076,                 1.7482,                0.65395,                 1.5161,              0.0010329,              0.0010329,              0.0010329
                     45,                 1.1806,                0.79016,                 1.2687,                0.95405,                0.94035,                0.97964,                0.53256,                 1.6434,                 0.6601,                 1.4071,              0.0010234,              0.0010234,              0.0010234
                     46,                 1.1582,                0.78595,                 1.2615,                 0.9293,                0.94656,                0.96179,                0.46682,                 1.8351,                0.68298,                 1.5165,               0.001014,               0.001014,               0.001014
                     47,                  1.164,                0.77557,                  1.264,                0.98191,                0.96104,                0.98517,                0.50189,                 1.6865,                0.65907,                 1.4855,              0.0010046,              0.0010046,              0.0010046
                     48,                 1.1486,                0.76123,                 1.2632,                0.94619,                0.96604,                0.98401,                0.52404,                 1.6212,                0.61828,                  1.402,             0.00099516,             0.00099516,             0.00099516
                     49,                 1.1414,                0.76897,                 1.2523,                0.95918,                0.93655,                0.97722,                0.53312,                 1.6503,                0.64777,                 1.4059,             0.00098572,             0.00098572,             0.00098572
                     50,                 1.1369,                0.75321,                 1.2466,                0.91869,                0.95441,                0.97426,                0.49731,                 1.6938,                0.65854,                 1.4967,             0.00097629,             0.00097629,             0.00097629
                     51,                 1.1549,                0.76619,                  1.254,                  0.963,                0.97144,                0.98552,                0.55985,                 1.5338,                0.60185,                   1.33,             0.00096686,             0.00096686,             0.00096686
                     52,                 1.1282,                0.74373,                 1.2302,                0.93118,                0.91403,                0.95006,                0.50401,                 1.6644,                0.65279,                 1.3965,             0.00095743,             0.00095743,             0.00095743
                     53,                 1.1543,                0.76888,                 1.2516,                0.96999,                0.92291,                 0.9726,                0.50058,                 1.6666,                0.65675,                 1.4616,               0.000948,               0.000948,               0.000948
                     54,                 1.1187,                 0.7413,                 1.2367,                0.93717,                0.93092,                0.98477,                0.46268,                 1.9402,                0.70949,                 1.6299,             0.00093857,             0.00093857,             0.00093857
                     55,                 1.1315,                0.74299,                 1.2487,                0.96056,                0.93261,                0.97739,                0.50674,                  1.695,                0.67442,                 1.4517,             0.00092914,             0.00092914,             0.00092914
                     56,                  1.107,                0.73331,                 1.2421,                0.90357,                0.94853,                0.96263,                 0.4929,                 1.7495,                0.68342,                 1.4414,              0.0009197,              0.0009197,              0.0009197
                     57,                  1.103,                0.72271,                 1.2292,                0.92385,                0.94253,                0.97295,                0.48447,                 1.7564,                0.68726,                 1.5387,             0.00091027,             0.00091027,             0.00091027
                     58,                 1.1055,                0.73386,                 1.2439,                0.95859,                0.95858,                0.97958,                0.51001,                 1.6273,                0.63596,                  1.451,             0.00090084,             0.00090084,             0.00090084
                     59,                 1.1069,                0.70695,                 1.2387,                0.95507,                0.94802,                0.98285,                0.52148,                 1.7099,                0.64515,                 1.4179,             0.00089141,             0.00089141,             0.00089141
                     60,                 1.0829,                0.69201,                 1.2161,                0.95568,                0.95642,                0.96666,                0.51912,                 1.6639,                0.64043,                 1.4233,             0.00088198,             0.00088198,             0.00088198
                     61,                  1.087,                0.69358,                 1.2208,                0.95235,                0.96038,                 0.9836,                0.50201,                 1.7241,                 0.6334,                 1.4726,             0.00087255,             0.00087255,             0.00087255
                     62,                 1.0776,                 0.7013,                 1.2122,                0.96452,                0.95046,                0.98575,                0.48753,                 1.7738,                0.66794,                 1.5307,             0.00086312,             0.00086312,             0.00086312
